Outlier,Set,Scaler,Classifier,Avg Train Accuracy,Avg Validation Accuracy,Avg ROC AUC,Avg Full Overfitting,Avg ConfMat_TN,Avg ConfMat_FP,Avg ConfMat_FN,Avg ConfMat_TP,Prec_Ben,Prec_Mal,F1,Lowest Accuracy,External Test Accuracy
none,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9575911512157417,0.9384109333067927,0.9817144599453534,0.2830284354099549,2482,195,265,4527,0.9448883257059835,0.9279958818819406,0.9152304154751109,0.9296718017414601,0.8268320180383315
iqr,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.969842044068854,0.9455713319810682,0.9850651661815005,0.7801141388200072,611,62,72,1717,0.9599793724004944,0.9089578060366206,0.9009522948136028,0.9390243902439024,0.6331454340473506
zscore,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9647532950863184,0.946983792117724,0.9860939835269178,0.7926725606346545,1824,138,182,3892,0.9556569204874995,0.9307381545741364,0.9192156009304767,0.9420049710024855,0.5986471251409244
isoforest,Raw_Feature_Set.csv,MinMaxScaler,MLPClassifier,0.9575669516939607,0.9398168861123845,0.9825731343712336,0.4668937397323685,2478,216,229,4471,0.951606096788803,0.9210634018206484,0.9176278706766953,0.9344151453684922,0.7733183013904548
none,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9726870494530424,0.9148457191122159,0.972991875407971,0.39359498580459623,2340,229,407,4493,0.9170311130609171,0.9107808851905898,0.8802474711897581,0.8975217682518419,0.8048102217211575
iqr,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9979691822229325,0.9045539999010538,0.9628334304775492,0.8244907132465114,532,84,151,1695,0.9182221023693428,0.8641620593310151,0.8191720157237399,0.8943089430894309,0.6614806463735439
zscore,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9814032110267246,0.9150088885474906,0.9716894940900407,1.007028628786723,1680,187,326,3843,0.9218362929737376,0.9000550693552636,0.867539672825003,0.9072079536039768,0.511837655016911
isoforest,Raw_Feature_Set.csv,MinMaxScaler,XGBoost,0.9733230513180583,0.9152015451320745,0.9731243452224134,0.8881948917984251,2292,212,415,4475,0.9151663656424629,0.91541527250129,0.8796551579611236,0.9066937119675457,0.5708380308154828
none,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.9193332213092258,0.8527233291280775,0.9315777890309704,0.5684856546041845,2301,654,446,4068,0.9012793549143148,0.7786408838263537,0.807009790650312,0.8427041499330656,0.6793686583990981
iqr,Raw_Feature_Set.csv,RobustScaler,RandomForest,0.9332861897482037,0.8225028447039033,0.8959019654444729,1.0580020980844884,512,266,171,1513,0.8984935295378366,0.6584261633364626,0.7009290350052224,0.8130081300813008,0.4600526118000752
